"NCED Data Capture - Text Output File (Comma delineated)"
"None Data [Channel 3]"
"Aux Sensor Latency",0
Text File Version,2.6,

"Flume/Project Name","Riverine Basin"
"RunName","D:\Wood Floodplain 2024\20240808_exp1_cartdata\20240808_exp1_wood\20240808_exp1_wood"
"Pass Finished Date/Time"," 08-08-2024"," 11:26:53"
"RunTime Finished"," 0:00:00"
"RunSeconds Finished",0
"ContinuousSec Finished",9421.486
"Script Name","C:\NCED\SequenceScripts\Riverine Basin\MASSA_Scan0001 (-500, 0, ) to (9940, 0, 900) FollowChannel.scp"
"Script Scan Type","Massa"
"Scan Number",2
"Z Count Direction","Positive Up"
"Home Encoder Offsets",57,486,1578
"Encoder CntPerMM",96,32,393.7
"Channel Settings","X Offset","Y Offset","Z Offset","K2 Coef","K1 Coef","K0 Coef"
"  Ch0 NotUsed",-979.6,-2465,-1149,"N/A for Sonar"
"  Ch1 Massa",-1079.6,-2465,-491.799987792969,0,912,109
"  Ch2 NotUsed",-1102.1,-2510,0,0,50,500
"  Ch3 NotUsed",-1329.6,-2605,-384,0,1,0
"Flume X Rail Slope(%)",0,,,,"Note: X and Zs are reported relative rails.  If rail slope is not zero, X and Z may need to be post-processed to put in desired coordinate frame."
"Keyence Angle/PivotOffset",0,0,,,Keyence not tiltable
"DAQ Speeds XYZ (mm/sec)",200,200,100
"Accel Rates XYZ (mm/sec/sec)",250,250,100

"Column Headers",2,"Number of header rows before data begins"
"Pass","Ping","X","Y","AUX_Z","AUX Value","ClockTime","RunTime H:M:S","RunTime Sec","ContinuousTime Sec"

14,7,5606.015,85.969,857.792,857.309
14,8,5606.015,85.969,857.792,857.308
14,9,5606.015,85.969,857.792,857.308
14,10,5606.015,85.969,857.792,857.31
14,11,5606.015,85.969,857.792,857.309
14,12,5606.015,85.969,857.792,857.31
14,13,5606.015,85.969,857.792,857.31
14,14,5606.015,85.969,857.792,857.309
14,15,5606.015,85.969,857.792,857.311
14,16,5606.015,85.969,857.792,857.31
14,17,5606.015,85.969,857.792,857.308
14,18,5606.015,85.969,857.792,857.308
14,19,5606.015,85.969,857.792,857.306
14,20,5606.015,85.969,857.792,857.308,"11:28:25","0:00:00",0,9514.203951
15,1,6094.025,-377.969,857.792,857.308,"11:28:32","0:00:00",0,9520.775377
15,2,6094.025,-377.969,857.792,857.305
15,3,6094.025,-377.969,857.79,857.304
15,4,6094.025,-377.969,857.792,857.307
15,5,6094.025,-377.969,857.792,857.307
15,6,6094.025,-377.969,857.79,857.303
15,7,6094.025,-377.969,857.79,857.304
15,8,6094.025,-377.969,857.792,857.306
15,9,6094.025,-377.969,857.792,857.307
15,10,6094.025,-377.969,857.792,857.307
15,11,6094.025,-377.969,857.792,857.305
15,12,6094.025,-377.969,857.79,857.307
15,13,6094.025,-377.969,857.792,857.306
15,14,6094.025,-377.969,857.792,857.308
15,15,6094.025,-377.969,857.79,857.306
15,16,6094.025,-377.969,857.792,857.306
15,17,6094.025,-377.969,857.792,857.308
15,18,6094.025,-377.969,857.792,857.306
15,19,6094.025,-377.969,857.792,857.307
15,20,6094.025,-377.969,857.792,857.308,"11:28:33","0:00:00",0,9521.725635
16,1,6582.036,-751,857.792,857.305,"11:28:39","0:00:00",0,9528.09207
16,2,6582.036,-751,857.79,857.302
16,3,6582.036,-751,857.792,857.304
16,4,6582.036,-751,857.79,857.303
16,5,6582.036,-751,857.792,857.306
16,6,6582.036,-751,857.792,857.307
16,7,6582.036,-751,857.792,857.304
16,8,6582.036,-751,857.792,857.305
16,9,6582.036,-751,857.792,857.308
16,10,6582.036,-751,857.792,857.305
16,11,6582.036,-751,857.792,857.306
16,12,6582.036,-751,857.792,857.306
16,13,6582.036,-751,857.79,857.301
16,14,6582.036,-751,857.792,857.309
16,15,6582.036,-751,857.792,857.306
16,16,6582.036,-751,857.792,857.305
16,17,6582.036,-751,857.79,857.302
16,18,6582.036,-751,857.792,857.306
16,19,6582.036,-751,857.79,857.303
16,20,6582.036,-751,857.792,857.305,"11:28:40","0:00:00",0,9529.049131
17,1,7070.046,-889.938,857.792,857.307,"11:28:46","0:00:00",0,9535.462466
17,2,7070.046,-889.938,857.792,857.305
17,3,7070.046,-889.938,857.792,857.306
17,4,7070.046,-889.938,857.792,857.306
17,5,7070.046,-889.938,857.79,857.304
17,6,7070.046,-889.938,857.792,857.308
17,7,7070.046,-889.938,857.792,857.309
17,8,7070.046,-889.938,857.792,857.308
